tag,x,y
blue,4.743163,1.626334
blue,11.545876,-0.098417
blue,7.656254,1.088300
orange_big,6.667221,1.330519
orange_big,6.195901,-2.119202
blue,14.558116,-2.105841
yellow,10.153339,-3.111073
blue,2.268371,1.540550
blue,16.003494,-3.450757
yellow,4.804037,-1.895811
yellow,2.450150,-1.711860
blue,17.755522,-5.957918
none,12.181163,-4.511284
none,5.755966,-6.433525
none,28.117266,-8.659595
blue,24.535984,-9.681308
blue,20.364529,-8.571646
blue,22.224867,-9.585275
yellow,15.020196,-7.807292
yellow,18.388496,-11.244128
yellow,24.977583,-13.046866
yellow,20.761343,-12.596269
none,30.884857,-6.672809
yellow,29.492079,-11.658811
none,7.362541,5.177945
blue,33.908379,-5.439319
yellow,32.557285,-9.501970
yellow,34.864376,-8.620617
blue,37.705589,-5.305590
yellow,37.209198,-8.638609
yellow,39.391163,-9.234804
blue,40.708019,-6.090862
yellow,26.472462,-28.905954
yellow,23.002802,-28.713076
none,29.732782,-28.481949
blue,21.910576,-31.961775
yellow,18.306631,-27.046904
none,32.694195,-28.186510
blue,26.574011,-32.189133
yellow,13.581986,-25.438831
yellow,34.926571,-27.753481
blue,29.931917,-31.772938
blue,17.221151,-30.270552
yellow,39.475349,-24.890142
yellow,36.752811,-27.085340
none,43.756702,-19.145393
none,44.720913,-16.337765
yellow,42.261013,-21.696653
blue,33.084442,-31.514038
blue,36.171227,-30.856703
orange_big,42.661438,-10.346850
none,44.397087,-11.817285
none,45.467354,-13.847089
blue,41.668686,-27.432238
blue,38.455063,-29.871740
blue,43.957344,-7.249444
blue,47.100307,-9.747170
blue,47.852390,-17.441641
blue,46.815773,-20.518957
blue,44.954376,-23.766464
blue,48.760620,-13.318079
none,70.639099,-16.676628
none,69.945763,-18.891001
none,69.409485,-21.415361
none,68.539436,-23.461071
none,66.404427,-28.990820
none,65.351685,-31.731688
none,64.337341,-34.616383
blue,12.519500,-28.628870
blue,16.594482,-49.557697
blue,7.821405,-26.976282
blue,18.770872,-51.722416
blue,14.126973,-47.918999
blue,5.587240,-26.114662
yellow,8.903572,-23.858004
yellow,6.658902,-23.060575
blue,10.941702,-47.078396
blue,9.117593,-46.528702
blue,1.767162,-24.849707
yellow,2.914152,-21.734318
blue,-1.555457,-23.653555
yellow,-0.525611,-20.612370
blue,-4.400895,-23.238592
yellow,-2.944366,-20.049557
blue,-7.245458,-23.965250
yellow,-5.824610,-20.136616
none,-9.564303,-25.719898
yellow,-8.945251,-21.173449
none,-11.468048,-31.088547
none,-10.784959,-33.849724
yellow,-14.700064,-31.288675
yellow,-14.120596,-27.089712
none,-11.034487,-28.189436
yellow,-11.992238,-23.552050
yellow,-7.116054,-3.035432
yellow,-13.177849,-7.044278
yellow,-11.124658,-5.382975
yellow,-9.629395,-4.092579
yellow,-14.977042,-8.434137
yellow,-17.760939,-9.823841
blue,-13.178684,-2.696683
none,-19.697515,-10.442698
blue,-14.608950,-4.091811
blue,-16.671038,-5.558604
blue,-18.460083,-6.588676
yellow,-21.176107,-10.076027
blue,-20.981979,-6.666663
yellow,-28.780146,-28.499989
yellow,-28.486483,-26.158077
yellow,-28.449898,-23.372982
blue,-22.845926,-6.334940
none,-29.257881,-31.511473
yellow,-13.758857,-35.158875
blue,-31.678747,-23.839989
yellow,-25.821499,-9.549243
none,-10.201615,-36.602406
blue,-32.214066,-28.265354
blue,-31.817644,-25.984165
yellow,-29.875139,-20.393545
yellow,-30.390078,-36.470318
yellow,-14.198798,-37.466919
yellow,-29.963055,-34.325268
yellow,-15.049146,-39.490654
blue,-11.131248,-38.699360
none,-29.324894,-40.182621
blue,-34.009434,-31.684547
blue,-32.585716,-31.028679
blue,-32.511303,-22.525961
blue,-34.079468,-21.312023
blue,-11.953106,-40.735096
yellow,-29.331949,-43.099079
blue,-34.613007,-34.934566
yellow,-15.493896,-43.449936
blue,-33.810104,-37.182381
blue,-12.214537,-43.531300
yellow,-15.134736,-45.926754
yellow,-27.083523,-47.556713
yellow,-28.686663,-45.350101
blue,-32.634312,-40.681068
blue,-11.053763,-45.877296
yellow,-13.767258,-47.845314
yellow,-25.358175,-49.357471
yellow,-11.894792,-50.317112
yellow,-23.149876,-52.144924
blue,-31.652906,-46.709705
blue,-9.440478,-48.118980
blue,-32.544708,-43.942863
yellow,-8.157434,-52.566536
blue,-7.296364,-49.280212
yellow,-20.192492,-54.859245
blue,-27.862715,-51.559185
blue,-29.838039,-49.334095
none,-4.647604,-49.357819
yellow,-17.881191,-56.373970
blue,-25.563885,-54.476601
yellow,-3.950590,-52.615757
none,-1.315599,-48.385151
yellow,-10.814093,-58.674942
yellow,-14.286275,-57.470051
blue,-24.535040,-55.771580
yellow,0.393789,-51.797333
blue,-22.079546,-57.630405
none,1.634027,-47.593719
