tag,x,y
blue,9.550952,1.773614
orange,6.618215,1.790091
yellow,9.502171,-2.022156
yellow,13.357274,-1.999449
blue,13.604460,1.691148
none,7.113120,3.657081
blue,22.312353,1.584749
blue,26.181959,1.620229
blue,18.068975,1.639254
blue,4.599957,1.697171
yellow,26.174221,-2.074823
yellow,22.111090,-2.049870
yellow,18.129356,-2.082318
yellow,4.323775,-1.991864
yellow,21.745773,-5.351229
yellow,25.009417,-6.479689
yellow,18.851286,-5.210625
yellow,15.757519,-7.191965
none,7.527591,-6.843000
none,26.125324,-9.136599
none,21.193745,-9.309527
blue,22.720417,-11.080950
none,18.758253,-9.490384
yellow,13.960092,-10.340131
none,23.144444,-13.812648
none,16.953894,-11.907942
yellow,12.924255,-12.520802
none,7.858519,-3.410897
none,26.728266,-14.138786
yellow,30.438570,-2.122906
none,26.587645,-11.698665
blue,30.444683,1.529541
none,14.935040,-15.371052
yellow,33.380001,-2.118429
yellow,35.253952,-3.141529
blue,35.145340,1.234013
none,36.880833,-4.815457
blue,38.018990,-0.191776
none,37.542309,-9.984226
none,36.315727,-12.013710
blue,40.112446,-2.425640
none,37.691273,-7.068470
blue,41.314213,-6.184997
none,34.909328,-14.128058
blue,39.455158,-12.967624
blue,41.351597,-9.879963
blue,37.436451,-16.356041
none,33.508156,-16.450502
blue,34.910900,-19.512276
none,31.011690,-17.835695
blue,31.777964,-20.977524
none,27.279205,-16.780785
blue,28.281149,-20.790005
blue,25.210346,-19.510283
blue,23.535412,-17.013889
blue,9.220931,-20.274027
blue,11.835104,-18.640348
blue,5.468063,-20.831240
yellow,5.197748,-17.651567
yellow,8.341533,-17.009460
yellow,10.316569,-15.321170
blue,2.514979,-19.621237
none,1.883589,-15.344332
none,-0.680375,-17.425936
orange,-0.693613,-12.748541
blue,0.716394,1.520198
yellow,0.138214,-2.159526
blue,-2.972925,0.861924
yellow,-3.278289,-2.870604
none,-3.300020,-9.505938
yellow,-6.640512,-8.211897
yellow,-5.946809,-3.819215
blue,-3.404170,-14.380304
none,-5.480422,-12.083356
blue,-6.342415,-0.439784
blue,-9.103932,-13.657458
none,-8.043162,-11.999186
yellow,-9.548500,-9.110220
yellow,-9.105844,-5.475006
yellow,-10.935934,-10.509069
blue,-10.036007,-16.369352
blue,-13.322360,-20.942215
blue,-11.361002,-18.753494
yellow,-17.775352,-19.309692
yellow,-15.091348,-17.650524
blue,-17.112671,-22.923578
yellow,-13.570450,-15.820753
yellow,-12.657298,-13.869092
blue,-21.470226,-23.140978
yellow,-21.325150,-19.569780
yellow,-15.888467,-10.740675
yellow,-22.282290,-16.105553
blue,-22.226408,-12.339415
yellow,-19.150612,-13.821327
blue,-19.494705,-9.813126
blue,-16.599974,-7.110541
yellow,-12.474516,-7.766185
blue,-12.992530,-4.342785
blue,-24.587658,-23.081465
yellow,-24.969707,-18.082884
blue,-9.248414,-2.095959
blue,-27.007076,-14.586413
blue,-25.345861,-14.492243
blue,-30.249556,-12.273891
blue,-33.617596,-10.767871
yellow,-31.131872,-15.861817
yellow,-33.211784,-14.581802
yellow,-35.326557,-13.955042
yellow,-24.339230,-19.619993
yellow,-27.068480,-19.631060
yellow,-27.020521,-18.272484
yellow,-29.505804,-17.145382
yellow,-31.447573,-19.635206
